objectid,title,format,filename,date,subject,location,latitude,longitude,description
item1,Introduction to Real Pen Work,image/jpg,openingpage.jpg,1881,introductory; real pen work; self instruction,St. Catharines,43.1594,79.2469,This is the title page and introduction to the book. 
item2,Wonderful Improvement,image/jpg,writelikehim.jpg,1905-02-23,practice makes perfect; write just like him,St. Catharines,43.1594,79.2469,"The book implies that with practice, you can become an expert writer like the man on the page. "
item3,How to Hold Your Pen,image/jpg,holdapen.jpg,1881,write with an elegant hand; the basics,St. Catharines,43.1594,79.2469,This page explains how holding a pen properly and being seated properly is crucial for penmanship.
item4,Practice Goes a Long Way,image/jpg,movements.jpg,1881,practice; movements; exercises,St. Catharines,43.1594,79.2469,These are exercises to be practiced before writing. 
item5,Exactly Fifty Two Degrees,image/jpg,angles.jpg,1881,precision; a highlighted importance,St. Catharines,43.1594,79.2469,Letters must be at a fifty two degree angle in order to be perfectly written.
item6,Example of Captail Letter Practice,image/jpg,exampleofleters.jpg,1881,analyzed and explained; practice of stroke and width,St. Catharines,43.1594,79.2469,Here is an example of capital letters from the alphabet and how they are represented within the book.
item7,The Tracing Process,image/jpg,thetracingprocess.jpg,1881,ornament penwork; a learning curve,St. Catharines,43.1594,79.2469,"This page explains to the reader how to trace, and that it is so easy, a child could do it."
item8,Stylized Letters for Interest,image/jpg,exampleoftracedletters.jpg,1881,an example; traced letters; stylistic ,St. Catharines,43.1594,79.2469,These are letters that have been traced effectively for reference for the reader.
item9,Tracing and Drawing of a Bird,image/jpg,penmanshipofbird.jpg,1881,imagrey; illustration; bird in pen,St. Catharines,43.1594,79.2469,An example of a bird that has been drawn utilizing the tracing process.
item10,Tracing and Drawing of a Horse,image/jpg,illustrationofahorse.jpg,1881,imagery; illustration; horse in pen,St. Catharines,43.1594,79.2469,An example of a horse that has been drawn utilizing the tracing process.
item11,Distant from Black and White,image/jpg,acolouredimage.jpg,1881,coloured image; flexibility of penwork,St. Catharines,43.1594,79.2469,"At the end of the book, there are some coloured images. This is the most intricate and it, once again, utilized the tracing process. "
item12,An Example of Fonts ,image/jpg,fonts.jpg,1881,fonts; languages; stylistic ,St. Catharines,43.1594,79.2469,An example of fonts in regard to Old English and Germanic writing.
item13,Writing in a Letter Example One,image/jpg,exampleletter11812.jpg,1812,penwork from 1812; progression of style,Niagara,43.0582,79.2902,"From 1812, this is an example of caligraphy and writing. We can see the letters are slanted and have thickness to them in certain curves and edges. "
item14,Writing in a Letter Example Two,image/jpg,exampleletter21835.jpg,1835,penwork from 1835; progression of style,Niagara,43.0582,79.2902,"From 1835, we can see that caligraphy and writing has stayed consistent with the standards of penmanship. Thus, this book has heavy emphasis on making sure the practice of writing maintains its idealism. "
